auto,post_id,eps,title,metadata,genres,year,image,quality,url
11,414734,,Tera Kya Hoga Lovely (2024),IMDb: 5.6|2024|133 min,Bollywood|Comedy|Drama|Family|Romance,2024,https://m.media-amazon.com/images/M/MV5BNmE5NWMwNTEtYzYzNS00OWU3LTk1YzQtZTVlZjMxNThiMDRkXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_FMjpg_UY599_.jpg,HINDI,https://prmovies.loan/tera-kya-hoga-lovely-2024-Watch-online-full-movie/
10,414733,,The Gentlemen (2024) Season 1 Hindi Dubbed (Netflix),IMDb: 5.6|2024|401 min,Action|Comedy|Drama|Web Series,2024,https://m.media-amazon.com/images/M/MV5BNTEzZTI4Y2UtNmE4Yy00MGQ5LWJiMzQtYzZkOTIxMjNiZGY1XkEyXkFqcGdeQXVyMTMzNzIyNDc1._V1_FMjpg_UX450_.jpg,HINDI,https://prmovies.loan/the-gentlemen-2024-season-1-hindi-dubbed-netflix-Watch-online-full-movie/
9,414738,,Turning Point: The Bomb and the Cold War (2024) Season 1 Hindi Dubbed (Netflix),IMDb: 6.6|2024|617 min,Documentary|Web Series,2024,https://m.media-amazon.com/images/M/MV5BOGZmZTU1MGMtOWI2OC00NmQ1LTgwZDItNzFlNmYwOTNlMDdiXkEyXkFqcGdeQXVyNDg0NjMwNDY@._V1_FMjpg_UY720_.jpg,HINDI,https://prmovies.loan/turning-point-the-bomb-and-the-cold-war-2024-season-1-hindi-dubbed-netflix-Watch-online-full-movie/
8,414737,,Love Adhura (2024) Season 1 Hindi Dubbed (Amazon Prime),IMDb: 5.6|2024|119 min,Drama|Romance|Web Series,2024,https://m.media-amazon.com/images/M/MV5BMjVhZTE2YjktNTUxYy00YTBiLTg1YjgtN2UzZTJjNWM1NGRiXkEyXkFqcGdeQXVyMTcwNjY4MTg0._V1_FMjpg_UY853_.jpg,HINDI,https://prmovies.loan/love-adhura-2024-season-1-hindi-dubbed-amazon-prime-Watch-online-full-movie/
7,414743,,Kannagi (2023) Hindi Dubbed,IMDb: 5.6|2024|158 min,Drama|Dual Audio|Romance|South Special,2024,https://m.media-amazon.com/images/M/MV5BNzkzYWYwMTItYTIyMS00OGQ0LWI4YjgtOWU4YTY2ODJhNjg5XkEyXkFqcGdeQXVyMTA4MzQ4NzMw._V1_FMjpg_UY709_.jpg,HINDI,https://prmovies.loan/kannagi-2023-hindi-dubbed-Watch-online-full-movie/
6,414766,,Big Girls Don’t Cry (BGDC) (2024) Season 1 (Amazon Prime),IMDb: 5.6|2024|353 min,Drama|Fantasy|Web Series,2024,https://m.media-amazon.com/images/M/MV5BZmMyNjJiMTYtNTM5Ni00NGU0LTllMTMtOTNmYzUxOWQwMWEyXkEyXkFqcGdeQXVyMTQ3Mzk2MDg4._V1_FMjpg_UY576_.jpg,HINDI,https://prmovies.loan/big-girls-dont-cry-bgdc-2024-season-1-amazon-prime-Watch-online-full-movie/
5,414755,,Bandidos (2024) Season 1 Hindi Dubbed (Netflix),IMDb: 6.3|2024|320 min,Action|Adventure|Crime|Web Series,2024,https://m.media-amazon.com/images/M/MV5BZjg4ZTM0ODYtZGRiYy00MjdhLWJkMDItOTM4NTNjYjk1NzQ4XkEyXkFqcGdeQXVyMDc5ODIzMw@@._V1_FMjpg_UY710_.jpg,HINDI,https://prmovies.loan/bandidos-2024-season-1-hindi-dubbed-netflix-Watch-online-full-movie/
4,414768,,Main Atal Hoon (2024),IMDb: 8.6|2024|133 min,Biography|Bollywood|Drama,2024,https://m.media-amazon.com/images/M/MV5BOThmZTZlZjktNDZjNi00NGFmLWFlMGQtNDM0MzRhYWJhOGZjXkEyXkFqcGdeQXVyMTQ3Mzk2MDg4._V1_FMjpg_UY599_.jpg,HINDI,https://prmovies.loan/main-atal-hoon-2024-Watch-online-full-movie/
3,414340,,Shaitaan (2024),IMDb: 8.4|2024|128 min,Bollywood|Drama|Horror|Thriller,2024,https://m.media-amazon.com/images/M/MV5BYWNiYWU0M2ItM2ZlOC00NDRmLTk0MWQtM2Y2MjAxNjI5MzUzXkEyXkFqcGdeQXVyOTI3MzI4MzA@._V1_FMjpg_UY543_.jpg,HINDI,https://prmovies.loan/shaitaan-2024-Watch-online-full-movie/
2,414756,,Bhimaa (2024) Hindi Dubbed,IMDb: 5.9|2024|143 min,Action|Drama|Dual Audio|South Special,2024,https://m.media-amazon.com/images/M/MV5BM2IzMWQxNTctM2RiOS00NDZjLTkzZDUtNTk1ZjYxYjRjOTJiXkEyXkFqcGdeQXVyMTQ3Mzk2MDg4._V1_FMjpg_UY699_.jpg,HINDI,https://prmovies.loan/bhimaa-2024-hindi-dubbed-Watch-online-full-movie/
1,414780,,Kavita Bhabhi (2024) Season 4 Part 2 (Ullu Originals),IMDb: 6.3|2024|46 min,TV Shows,2024,https://imego.lat/ib/eHdIKCmKuw.jpg,18+,https://prmovies.loan/kavita-bhabhi-2024-season-4-part-2-ullu-originals-Watch-online-full-movie/
